cluster_id,label,size,top_terms
5,Cluster_5_(aws),780,"aws, support, account, lambda, amazon, available, does, hey"
3,Cluster_3_(help),78,"help, guys, account, need, aws, support, hey, having"
4,Cluster_4_(ec2),50,"ec2, awswishlist, instance, types, instances, tag, aws, support"
2,Cluster_2_(thanks),41,"thanks, hi, aws, feature, awesome, account, need, query"
0,Cluster_0_(looking),17,"looking, india, sales, contact, forward, sorry, doesn, cloud"
7,Password Reset,16,"user, create, replication, iam, login, pool, rds, canada"
1,Cluster_1_(did),14,"did, understand, exam, schedule, help, yay, notice, december"
6,Cluster_6_(link),13,"link, hey, broken, sidebar, tutorials, love, tell, workie"
